Column1,Column5,Column9
깎아지르,Adjective,*
깐지,Adjective,*
깐질기,Adjective,*
깔깔하,Adjective,*
깔끄럽,Adjective,*
깔끔스럽,Adjective,*
깜,Adjective,*
깜쪽같,Adjective,*
깜찍스럽,Adjective,*
깜찍하,Adjective,*
깟,Adjective,*
깡마르,Adjective,*
깨끗잖,Adjective,*
깨닫,Adjective,*
꺼덕치,Adjective,*
꺼림텁텁하,Adjective,*
꺼멓,Adjective,*
꺽세,Adjective,*
껄끄럽,Adjective,*
껄렁껄렁하,Adjective,*
껌,Adjective,*
께름직하,Adjective,*
꼬지,Adjective,*
꼴같잖,Adjective,*
꼴사납,Adjective,*
꼼꼼스럽,Adjective,*
꼼짝없,Adjective,*
꽁하,Adjective,*
꾀까다롭,Adjective,*
꾀까닭스럽,Adjective,*
꾀바르,Adjective,*
꾸미,Adjective,*
꾸밈없,Adjective,*
꾸지,Adjective,*
꿈같,Adjective,*
꿈뜨,Adjective,*
끄덕없,Adjective,*
끄떡없,Adjective,*
끄므레하,Adjective,*
끈덕지,Adjective,*
끈질기,Adjective,*
끊,Adjective,*
끊임없,Adjective,*
끌,Adjective,*
끌질기,Adjective,*
끔찍끔찍스럽,Adjective,*
끔찍스럽,Adjective,*
끝없,Adjective,*
낄,Adjective,*
낄따랗,Adjective,*
나같,Adjective,*
나긋나긋하,Adjective,*
나누,Adjective,*
나들하,Adjective,*
나부죽하,Adjective,*
나뿌,Adjective,*
나쁘,Adjective,*
나섭,Adjective,*
나아쁘,Adjective,*
나어리,Adjective,*
나즈막하,Adjective,*
나태스럽,Adjective,*
난감스럽,Adjective,*
난데없,Adjective,*
난잡스럽,Adjective,*
난폭스럽,Adjective,*
난하,Adjective,*
날래,Adjective,*
날쌉,Adjective,*
날쌔,Adjective,*
날쎄,Adjective,*
날카롭,Adjective,*
낡,Adjective,*
남,Adjective,*
남다르,Adjective,*
남모르,Adjective,*
남부끄럽,Adjective,*
남부럽,Adjective,*
남부럽잖,Adjective,*
남새시럽,Adjective,*
남세스럽,Adjective,*
남짓하,Adjective,*
낫,Adjective,*
낮,Adjective,*
낮디낮,Adjective,*
낯간지럽,Adjective,*
낯뜨겁,Adjective,*
낯모르,Adjective,*
낯설,Adjective,*
낯익,Adjective,*
낳,Adjective,*
내,Adjective,*
내놓,Adjective,*
내리덥,Adjective,*
내흉스럽,Adjective,*
냅,Adjective,*
냉정스럽,Adjective,*
냉하,Adjective,*
너,Adjective,*
