Column1,Column5,Column9
아이아,Exclamation,*
아이아이,Exclamation,*
아이야,Exclamation,*
아이이고,Exclamation,*
아이이고오,Exclamation,*
아이잉,Exclamation,*
아이참,Exclamation,*
아이코,Exclamation,*
아이쿠,Exclamation,*
아잇,Exclamation,*
아잉,Exclamation,*
아자,Exclamation,*
아주,Exclamation,*
아쭈,Exclamation,*
아차,Exclamation,*
아차차,Exclamation,*
아참,Exclamation,*
아쿠쿠,Exclamation,*
아크,Exclamation,*
아하,Exclamation,*
아하이고,Exclamation,*
아하하,Exclamation,*
아하하하,Exclamation,*
아함,Exclamation,*
아항,Exclamation,*
아효,Exclamation,*
아후,Exclamation,*
아휴,Exclamation,*
아흐,Exclamation,*
아흠,Exclamation,*
아히,Exclamation,*
악,Exclamation,*
악아,Exclamation,*
안,Exclamation,*
안녕,Exclamation,*
알나리깔나리,Exclamation,*
알라,Exclamation,*
암,Exclamation,*
암요,Exclamation,*
앗,Exclamation,*
앗다,Exclamation,*
앗따,Exclamation,*
앗싸,Exclamation,*
앗싸리,Exclamation,*
앙,Exclamation,*
앙앙앙,Exclamation,*
애,Exclamation,*
애개,Exclamation,*
애걔,Exclamation,*
애걔걔,Exclamation,*
애고,Exclamation,*
애고고,Exclamation,*
애고머니,Exclamation,*
애고애고,Exclamation,*
애구애구,Exclamation,*
애그,Exclamation,*
애라,Exclamation,*
애이,Exclamation,*
애재라,Exclamation,*
애쿠,Exclamation,*
애해,Exclamation,*
애햄,Exclamation,*
앵,Exclamation,*
야,Exclamation,*
야아,Exclamation,*
야아아,Exclamation,*
야아아옹,Exclamation,*
야아앙,Exclamation,*
야앙,Exclamation,*
야야,Exclamation,*
야야야,Exclamation,*
야야야야야,Exclamation,*
야오,Exclamation,*
야이,Exclamation,*
야잇,Exclamation,*
야호,Exclamation,*
얀마,Exclamation,*
얍,Exclamation,*
얏,Exclamation,*
얏호,Exclamation,*
얘,Exclamation,*
얘야,Exclamation,*
얘얘얘,Exclamation,*
어,Exclamation,*
어거,Exclamation,*
어고,Exclamation,*
어구,Exclamation,*
어구구구구,Exclamation,*
어구어구,Exclamation,*
어기야,Exclamation,*
어기야디야,Exclamation,*
어기어차,Exclamation,*
어기여차,Exclamation,*
어기영차,Exclamation,*
어둥둥,Exclamation,*
어디,Exclamation,*
어디아니,Exclamation,*
어디여,Exclamation,*
어따,Exclamation,*
어때,Exclamation,*
어떤,Exclamation,*
어라,Exclamation,*
어랍쇼,Exclamation,*
어럽쇼,Exclamation,*
어마,Exclamation,*
어마나,Exclamation,*
어매,Exclamation,*
어머,Exclamation,*
어머나,Exclamation,*
어머머,Exclamation,*
어머머머,Exclamation,*
어머어머,Exclamation,*
어부바,Exclamation,*
어비,Exclamation,*
어뿔싸,Exclamation,*
어사와,Exclamation,*
어쉬,Exclamation,*
어쑤,Exclamation,*
어쑤우,Exclamation,*
어아아,Exclamation,*
어야,Exclamation,*
어야께나,Exclamation,*
어야디야,Exclamation,*
어어,Exclamation,*
어어디,Exclamation,*
어어어,Exclamation,*
어어어어,Exclamation,*
어어어어어,Exclamation,*
어어어어응,Exclamation,*
어어어엉,Exclamation,*
어어엉,Exclamation,*
어어오,Exclamation,*
어어이,Exclamation,*
어엉,Exclamation,*
어에에,Exclamation,*
어여차,Exclamation,*
어영차,Exclamation,*
어옹,Exclamation,*
어와,Exclamation,*
어와호,Exclamation,*
어우,Exclamation,*
어우야,Exclamation,*
어웅,Exclamation,*
어유,Exclamation,*
어으,Exclamation,*
어음,Exclamation,*
어이,Exclamation,*
어이고,Exclamation,*
어이구,Exclamation,*
어이구나,Exclamation,*
어이구머니,Exclamation,*
어이구머니나,Exclamation,*
어이구야,Exclamation,*
어이그,Exclamation,*
어이샤,Exclamation,*
어이세,Exclamation,*
어이썅,Exclamation,*
어이쒸,Exclamation,*
어이씨,Exclamation,*
어이야,Exclamation,*
어이어이,Exclamation,*
어이쿠,Exclamation,*
어이쿠나,Exclamation,*
어잇,Exclamation,*
어절씨구,Exclamation,*
어째서야,Exclamation,*
어쩌면,Exclamation,*
어쩜,Exclamation,*
어쭈,Exclamation,*
어쭈구리,Exclamation,*
어쿠,Exclamation,*
어쿠우,Exclamation,*
어허,Exclamation,*
어허둥둥,Exclamation,*
어허디야,Exclamation,*
어허야디야,Exclamation,*
어허어,Exclamation,*
어허어허,Exclamation,*
어허우어어,Exclamation,*
어허허,Exclamation,*
어헉,Exclamation,*
어험,Exclamation,*
어홍,Exclamation,*
어화,Exclamation,*
어화둥둥,Exclamation,*
어후,Exclamation,*
어휴,Exclamation,*
어흐,Exclamation,*
어흐어흐,Exclamation,*
어흐흐흐,Exclamation,*
어흠,Exclamation,*
어흥,Exclamation,*
억,Exclamation,*
얼,Exclamation,*
얼라,Exclamation,*
얼래,Exclamation,*
얼래래,Exclamation,*
얼럴럴,Exclamation,*
얼레,Exclamation,*
얼시고나,Exclamation,*
얼싸,Exclamation,*
얼쑤,Exclamation,*
얼씨고나,Exclamation,*
얼씨구,Exclamation,*
얼씨구나,Exclamation,*
얼씨구나절씨구나,Exclamation,*
얼씨구절씨구,Exclamation,*
엄,Exclamation,*
엄엄,Exclamation,*
엇,Exclamation,*
엇쉬,Exclamation,*
엉,Exclamation,*
엉엉엉,Exclamation,*
에,Exclamation,*
에고,Exclamation,*
에고에고,Exclamation,*
에구,Exclamation,*
에구구,Exclamation,*
에구머니,Exclamation,*
에구머니나,Exclamation,*
에구머니야,Exclamation,*
에그,Exclamation,*
에그그,Exclamation,*
에그머니,Exclamation,*
에그머니나,Exclamation,*
에기,Exclamation,*
에기나,Exclamation,*
에기야,Exclamation,*
에꼬,Exclamation,*
에꾸,Exclamation,*
에끼,Exclamation,*
에따,Exclamation,*
에또,Exclamation,*
에라,Exclamation,*
에라이,Exclamation,*
에렐렐네,Exclamation,*
에렐렐넬,Exclamation,*
에루화,Exclamation,*
에미럴,Exclamation,*
에비,Exclamation,*
에비다,Exclamation,*
에야디야,Exclamation,*
에어야,Exclamation,*
에에,Exclamation,*
에에그,Exclamation,*
에에에,Exclamation,*
에에에에에에,Exclamation,*
에엑,Exclamation,*
에엣,Exclamation,*
에엥,Exclamation,*
에우,Exclamation,*
에유,Exclamation,*
에이,Exclamation,*
에이고,Exclamation,*
에이구,Exclamation,*
에이구머니,Exclamation,*
에이그,Exclamation,*
에이끼,Exclamation,*
에이시,Exclamation,*
에이쒸,Exclamation,*
에이씨,Exclamation,*
에이여라,Exclamation,*
에이이,Exclamation,*
에이치,Exclamation,*
에이히,Exclamation,*
에익,Exclamation,*
에잇,Exclamation,*
에잉,Exclamation,*
에참,Exclamation,*
에쿠,Exclamation,*
에쿠나,Exclamation,*
에쿠쿠,Exclamation,*
에크,Exclamation,*
에크나,Exclamation,*
에키,Exclamation,*
에헤,Exclamation,*
에헤야,Exclamation,*
에헤에,Exclamation,*
에헤에야,Exclamation,*
에헤잉,Exclamation,*
에헬렐넬,Exclamation,*
에헴,Exclamation,*
에휴,Exclamation,*
에휴우,Exclamation,*
에흐,Exclamation,*
엑,Exclamation,*
엘넬넬,Exclamation,*
엣,Exclamation,*
엥,Exclamation,*
엥이,Exclamation,*
여,Exclamation,*
여보,Exclamation,*
여보게,Exclamation,*
여보게나,Exclamation,*
여보게에,Exclamation,*
여보세여,Exclamation,*
여보세요,Exclamation,*
여보셔요,Exclamation,*
여보셔유,Exclamation,*
여보소,Exclamation,*
여보쇼,Exclamation,*
여보슈,Exclamation,*
여보시게,Exclamation,*
여보시오,Exclamation,*
여보시요,Exclamation,*
여보십시오,Exclamation,*
여보오,Exclamation,*
여보이소,Exclamation,*
여봐,Exclamation,*
여봐라,Exclamation,*
여봐요,Exclamation,*
여부세요,Exclamation,*
여부쇼,Exclamation,*
여부슈,Exclamation,*
여어,Exclamation,*
여차,Exclamation,*
열중셧,Exclamation,*
열중차렷,Exclamation,*
열차,Exclamation,*
염병할,Exclamation,*
엽세요,Exclamation,*
